game,category,question,answer,amount,media,dj
6389,2 VERBS IN ONE,"The name of this bridge is a contraction of rivo alto, ""deep stream""",the Rialto,200,http://www.j-archive.com/media/2019-07-26_J_21.jpg,False
6389,2 VERBS IN ONE,"Now meaning a slum, this word may come from the name of a Venetian area to which Jews were once restricted",ghetto,400,,False
6389,2 VERBS IN ONE,"During one season, the winter of 1678, this Baroque music master was born in Venice",Antonio Vivaldi,600,,False
6389,2 VERBS IN ONE,In 697 Paolo Lucio Anafesto became the first of these Venice bosses; in 1797 Ludovico Manin became the last,doge,800,,False
6389,2 VERBS IN ONE,"St. Mark's is famous for this type of bell tower, from the Italian for ""bell""",campanile,1000,http://www.j-archive.com/media/2019-07-26_J_25.jpg,False
6389,TURNING TO SPORTS,To travel by taking rides from passing cars,hitchhike,200,,False
6389,TURNING TO SPORTS,"Akin to saute, you do this to veggies in a wok",stir-fry,400,,False
6389,TURNING TO SPORTS,To get behind the wheel of a Chrysler you're thinking of buying & take it for a spin,test-drive,600,,False
6389,TURNING TO SPORTS,To use a foot & a pedal to get a motorcycle going,kick-start,800,,False
6389,TURNING TO SPORTS,"To windmill, headspin or elbow hop like a b-boy",breakdance,1000,,False
6389,BEFORE & AFTER: SINGERS & WRITERS,"In 2012 a U.K. game of this sport went 150 hours non-stop--""the only time we slept was when our team was batting""",cricket,200,,False
6389,BEFORE & AFTER: SINGERS & WRITERS,"Lee Corso once noted the Rainbow Warriors football team at this univ. ""doesn't win many games in the United States""",(the University of) Hawaii,400,,False
6389,BEFORE & AFTER: SINGERS & WRITERS,"Spin in an 8-foot, 2-inch throwing circle to throw a 4.4-pound circle in this sport",discus,600,,False
6389,BEFORE & AFTER: SINGERS & WRITERS,"This ""Brown Bomber"" successfully defended his heavyweight crown 25 times, with 22 knockouts",Joe Louis,800,,False
6389,BEFORE & AFTER: SINGERS & WRITERS,"Fox Sports:This Utah Jazz man, aka the Mailman, ""may be the first human to be even more chiseled than his own statue""",Karl Malone,1000,,False
6389,SHAPE UP!,"""The Heart Of Rock & Roll"" lead singer who also wrote ""Alice in Wonderland""",Huey Lewis Carroll,200,,False
6389,SHAPE UP!,"""Hit The Road Jack"" with the singer & pianist who also came up with the theory of evolution by natural selection",Ray Charles Darwin,400,,False
6389,SHAPE UP!,"Folk trio that was ""Blowin' In The Wind"" with the writer of ""Frankenstein""","Peter, Paul and Mary Shelley",600,,False
6389,SHAPE UP!,"""Super Freak"" singer who also told ""Tales of the South Pacific""",Rick James Michener,800,,False
6389,SHAPE UP!,"""Raindrops Keep Fallin' On My Head"" singer who takes up a pen & creates ""The Mayor of Casterbridge""",B.J. Thomas Hardy,1000,,False
6389,CHILLAX,This chess piece can only move in an L-shape,the knight,200,,False
6389,CHILLAX,A traditional honeycomb is made of cells of this shape,a hexagon,400,,False
6389,CHILLAX,"Connect two semicircles with parallel lines & you have this shape, named for a type of arena",a stadium,600,http://www.j-archive.com/media/2019-07-26_J_18.jpg,False
6389,CHILLAX,"The shape created by two interlocking circles is called a vesica piscis, Latin for this bladder",fish,800,http://www.j-archive.com/media/2019-07-26_J_19.jpg,False
6389,CHILLAX,"(Sarah of the Clue Crew demonstrates the trammel of Archimedes.) Also known as a do-nothing machine, the trammel of Archimedes actually has a function--if you trace the path of the handle, you can draw one of these shapes",an ellipse,1000,http://www.j-archive.com/media/2019-07-26_J_20.mp4,False
6389,SHARK WEEK,"It's your day off, go ahead & be one of these ""spuds"" & catch up on your favorite shows",a couch potato,200,,False
6389,SHARK WEEK,"Chillax with your partner & enjoy a couple's one of these, maybe the Swedish type; it's just what you knead",massage,400,,False
6389,SHARK WEEK,"Forget cooking--you can order food from this rhyming service that delivers from more than 105,000 takeout restaurants",GrubHub,600,,False
6389,SHARK WEEK,Enjoy a glass of the tawny type of this fortified wine,port,800,,False
6389,SHARK WEEK,"Chillax to some classical music like this German composer's ""Canon in D""; it's not just for weddings",Pachelbel,1000,,False
6389,2 VERBS IN ONE,"It was a bad day to be a robot sub as the one here felt the 2-ton bite of one of these apex predators, also known as the maneater",a great white shark,400,http://www.j-archive.com/media/2019-07-26_DJ_29.mp4,True
6389,2 VERBS IN ONE,"The subcutaneous lateral line on this tiger shark senses these quivering motions in the water, perhaps from a struggling fish",vibrations,800,http://www.j-archive.com/media/2019-07-26_DJ_23.mp4,True
6389,2 VERBS IN ONE,"Many sharks are solitary hunters, but reef sharks are known to hunt in this 11-letter way that also refers to a type of apartment",cooperative,1200,,True
6389,2 VERBS IN ONE,"Shark Week divers encounter a rare sight--a bigeye type of this shark, named for a motion its tail makes as it whips its prey",a thresher shark,1600,http://www.j-archive.com/media/2019-07-26_DJ_25.mp4,True
6389,2 VERBS IN ONE,It was white-knuckle time on Shark Week as one of the crew got harassed by a huge one of these 4-letter sharks with a Maori name,a mako shark,2000,http://www.j-archive.com/media/2019-07-26_DJ_30.mp4,True
6389,TURNING TO SPORTS,"Signing the Amer. w/ Disabilities Act on July 26, 1990, Pres. Bush said he was inspired by this GOP senator who lost the use of an arm",(Bob) Dole,400,,True
6389,TURNING TO SPORTS,"On July 26, 1858 Baron Lionel de Rothschild took his seat as the first Jewish member of this government body",British Parliament,800,,True
6389,TURNING TO SPORTS,"The Continental Congress established this govt. entity July 26, 1775 with Ben Franklin as its first head",the U.S. Postal Service,1200,,True
6389,TURNING TO SPORTS,"Liberia dates its founding from the signing of its constitution in this city on July 26, 1847",Monrovia,1600,,True
6389,TURNING TO SPORTS,"Despite objections from the Pentagon, on July 26, 1948 Harry Truman issued an executive order telling the military to do this","desegregate, or integrate",2000,,True
6389,BEFORE & AFTER: SINGERS & WRITERS,"Luckily for Starbucks, this server job is considered gender neutral in Italian",a barista,400,,True
6389,BEFORE & AFTER: SINGERS & WRITERS,In 1993 this term was used by writer Stephen Fried to describe members of a supermodel's entourage,fashionista,800,,True
6389,BEFORE & AFTER: SINGERS & WRITERS,A Nicaraguan revolutionary,sandinista,1200,,True
6389,BEFORE & AFTER: SINGERS & WRITERS,A native of Brazil's largest city,Sao Paulista,1600,,True
6389,BEFORE & AFTER: SINGERS & WRITERS,This type of soldier works out of Chiapas,Zapatista,2000,,True
6389,SHAPE UP!,In 1968 episode No. 1 of this news show that's still on had behind-the-scenes looks at Richard Nixon & Hubert Humphrey,60 Minutes,400,,True
6389,SHAPE UP!,I'm so glad we had this woman's variety show that had Jim Nabors as its first guest & as the first guest each season,Carol Burnett,800,,True
6389,SHAPE UP!,"In 1967 Harry Morgan joined ""Dragnet"" as Bill Gannon, the final partner of this police sergeant played by Jack Webb",Joe Friday,1200,,True
6389,SHAPE UP!,"One white guy, one black guy & one blonde gal fought crime as this cool undercover title trio",the Mod Squad,1600,,True
6389,SHAPE UP!,"This animated cosmic superhero, voiced by Gary Owens, faced off against galactic villains",Space Ghost,2000,http://www.j-archive.com/media/2019-07-26_DJ_06.jpg,True
6389,CHILLAX,"""Henry IV, Part 2"": ""He hath eaten me out of ____ and ____""",house and home,400,,True
6389,CHILLAX,"""Julius Caesar"": ""____ tu, ____?""","""Et tu, Brute?""",800,,True
6389,CHILLAX,"""Henry VI, Part 2"":""The first thing we do, let's ____ all the ____""","""let's kill all the lawyers""",1200,,True
6389,CHILLAX,"""Romeo and Juliet"": ""It is the ____, and Juliet is the ____""","""It is the east, and Juliet is the sun""",1600,,True
6389,CHILLAX,"A double double blank, from ""Macbeth"": ""____ is ____, and ____ is ____""","""Fair is foul, and foul is fair""",2000,,True
6389,SHARK WEEK,"As well as photosharing on this app, you can watch its Snap originals like ""#vanlife""",Snapchat,400,,True
6389,SHARK WEEK,"Genus Antirrhinum, these flowers snap closed after they are pried open by bees",snapdragons,800,,True
6389,SHARK WEEK,"This singer decided to add the finger snaps to her hit song ""Fever""",(Peggy) Lee,1200,http://www.j-archive.com/media/2019-07-26_DJ_16.jpg,True
6389,SHARK WEEK,This hyphenated tool company owns brands like Car-O-Liner & Kansas Jack,Snap-On,1600,,True
6389,SHARK WEEK,"In 2019 meteorologist Daryl Ritchison at NDSU, this university, said the minus-33 temps were ""a cold snap""",North Dakota State University,2000,,True
