index,game,category,question,answer,amount,media,dj
0,8046,HISTORY HYSTERIA,"On June 10, 1692 Bridget Bishop was hanged on Gallows Hill in this Mass. place; Bridget would be far from the last",Salem,200,,False
1,8046,HISTORY HYSTERIA,"400 people danced uncontrollably for days, some until death, in 1518's dancing plague in Strasbourg in this country",France,400,,False
2,8046,HISTORY HYSTERIA,"On the Daily News'  Oct. 31, 1938 front   page: ""Fake radio 'war' stirs terror through U.S."", with a picture of this actor",Orson Welles,600,,False
3,8046,HISTORY HYSTERIA,"In 1950 this senator said 205 Communists worked in the state department but later testifying in the Senate, couldn't document one",McCarthy,800,,False
4,8046,HISTORY HYSTERIA,"In 1483 he was made Grand Inquisitor for Castile & León & by 1498, an estimated 2,000 people had been burned at the stake",Torquemada,1000,,False
5,8046,2 PARTS MAKE A WHOLE,"Proverbial place ""where the heart is""+a railroad station = this D.I.Y. chain (you must build the response)",the Home Depot,200,,False
6,8046,2 PARTS MAKE A WHOLE,"Adobe's web content-delivering ""player"" + another term for the mafia = a group that performs & then disperses quickly",a Flash mob,400,,False
7,8046,2 PARTS MAKE A WHOLE,14-year Texas governor Perry+ to spin over & over across a surface = this meme we will never give up,a Rickroll,600,,False
8,8046,2 PARTS MAKE A WHOLE,Proverbially patient person+ Monsieur Cézanne  = this state capital,Saint Paul,800,,False
9,8046,2 PARTS MAKE A WHOLE,One of Santa's reindeer +a festive social gathering = this doomed group of American pioneers,the Donner Party,1000,,False
10,8046,CATCH OF THE DAY,"Unlike its half-ton cousins with colors in their names, the stripe type of this game fish weighs no more than a few hundred pounds",a marlin,200,https://www.j-archive.com/media/2023-06-08_J_14.jpg,False
11,8046,CATCH OF THE DAY,Catch the fish called a giant black sea this off Santa Monica Pier & you have to release it or find an aquarium that wants it,a bass,400,,False
12,8046,CATCH OF THE DAY,"Japan's Children's Day is celebrated with images of this fish, which, according to legend, gained strength from swimming upstream",a carp (koi),600,https://www.j-archive.com/media/2023-06-08_J_26.jpg,False
13,8046,CATCH OF THE DAY,"The ling tastes like this fish, & ""ling"" precedes its name in the name of another fish",cod,800,,False
14,8046,CATCH OF THE DAY,"It's the name of the Floridian fish seen here, a corruption of the Spanish ""palometa"" or a document that might let you catch it",a permit,1000,https://www.j-archive.com/media/2023-06-08_J_30.jpg,False
15,8046,SILENT LETTER WORDS,It's just a pterm for a ptremendous pterosaur,pterodactyl,200,,False
16,8046,SILENT LETTER WORDS,"Lambeth or Staten Island, for example",a borough,400,,False
17,8046,SILENT LETTER WORDS,"Kim Kardashian's 4th kid, or a sacred song",Psalm,600,,False
18,8046,SILENT LETTER WORDS,The OED's first citation for this surfing slang for a challenging wave goes back to 1977,gnarly,800,,False
19,8046,SILENT LETTER WORDS,"This word with a rare silent ""Q"" can mean a resinous varnish",lacquer,1000,,False
20,8046,LATE NIGHT TALKING,"Lady Gaga & James Corden were ""belting it out with their seat belts on"" in this classic ""Late Late Show"" segment",Carpool Karaoke,200,,False
21,8046,LATE NIGHT TALKING,"This host's Top Ten rejected ""Jeopardy!"" categories included ""Things that Ooze"", ""Doorknob Lore"" & ""Moist Things""",(David) Letterman,400,,False
22,8046,LATE NIGHT TALKING,"45 million tuned in to the 1969 live, on-stage ""Tonight Show"" wedding of Tiny Tim & Miss Vicki, hosted by this legend",Johnny Carson,600,,False
